id,year,gender,jobtenure,pos,procjust,valuefit,sickdays,jobsat,distjust,jobstrain,perf,training,pos_l1,perf_l1,procjust_l1,valuefit_l1,sickdays_l1,jobsat_l1,distjust_l1,jobstrain_l1,training_l1
453,2015,1,23,3,4.25,3,1,2.3000002,2.6700001,3,3.8,0,3.75,3,4,3.6700001,,1.0900002,3,1,1
453,2016,1,24,3,3.5,3,0,1,3.6700001,3.6700001,3.3,0,3,3,4.25,3,1,2.3000002,2.6700001,3,0
454,2014,1,15,4,4,4,,.90999985,3.3299999,1.33,2.0999999,1,,,,,,,,,
454,2015,1,16,3.5,3.75,5,3,2.3000002,2.6700001,4,1.4,0,4,2,4,4,,.90999985,3.3299999,1.33,1
454,2016,1,17,3.5,4.5,4,0,.30000019,2.3299999,3.6700001,1.3,0,3.5,1,3.75,5,3,2.3000002,2.6700001,4,0
455,2014,1,1,3,3.75,3,,2.73,3,2,2.5999999,0,,,,,,,,,
455,2015,1,2,3.25,4.75,4,2,1.6999998,2,4.3299999,1.6,0,3,2,3.75,3,,2.73,3,2,0
455,2016,1,3,3.75,4.25,4.3299999,1,2.6999998,3.0599999,4.3299999,3.9000001,0,3.25,1,4.75,4,2,1.6999998,2,4.3299999,0
456,2014,1,7,3.25,3.75,4.6700001,,1.4499998,4.6700001,2.6700001,3.4000001,0,,,,,,,,,
456,2015,1,8,2.25,4.5,5,0,1.3000002,5,4.3299999,2.4000001,1,3.25,3,3.75,4.6700001,,1.4499998,4.6700001,2.6700001,0
456,2016,1,9,3,3.5,4.6700001,0,1.6999998,5.6700001,3.6700001,3.0999999,1,2.25,2,4.5,5,0,1.3000002,5,4.3299999,1
457,2014,1,28,1.75,1,2.3299999,,6,4.3299999,4.3299999,4.6999998,1,,,,,,,,,
457,2015,1,29,2.25,2,2.6700001,0,4.9000001,3.3299999,3.9400001,3.5,1,1.75,4,1,2.3299999,,6,4.3299999,4.3299999,1
457,2016,1,30,2.5,2,3.3299999,0,5.8000002,2.3299999,3.6700001,2.2,0,2.25,3,2,2.6700001,0,4.9000001,3.3299999,3.9400001,1
459,2014,1,5,2.75,3,3,,2.3600001,4.3299999,3,4.3000002,1,,,,,,,,,
459,2015,1,6,2,2.25,2.3299999,0,1.1999998,5,2.6700001,4.9000001,1,2.75,4,3,3,,2.3600001,4.3299999,3,1
459,2016,1,7,2.5,2.5,2.3299999,2,2.6999998,5.6700001,3.3299999,4.4000001,1,2,4,2.25,2.3299999,0,1.1999998,5,2.6700001,1
460,2014,1,15,3.75,3.25,4,,2.27,4.3299999,1.33,2.0999999,0,,,,,,,,,
460,2015,1,16,4.5,4.25,5,25,1.0999999,5,5,3.5999999,0,3.75,2,3.25,4,,2.27,4.3299999,1.33,0
460,2016,1,17,4.75,3.25,5,0,2.4000001,5,5,3.5999999,0,4.5,3,4.25,5,25,1.0999999,5,5,0
461,2014,1,10,3.5,3,3,,2.1799998,4.6700001,2.3299999,4,0,,,,,,,,,
461,2015,1,11,3.25,2.75,3,2,1,5.3299999,3.6700001,3.5,0,3.5,3,3,3,,2.1799998,4.6700001,2.3299999,0
461,2016,1,12,3.5,3,3.3299999,0,2.1999998,6,3.6700001,3.3,0,3.25,3,2.75,3,2,1,5.3299999,3.6700001,0
462,2014,1,1,2.5,2.5,3.6700001,,2.4499998,4.3299999,3,4,0,,,,,,,,,
462,2015,1,2,2.75,2.25,4.3299999,2,1.1999998,4.6700001,5,1.2,0,2.5,3,2.5,3.6700001,,2.4499998,4.3299999,3,0
462,2016,1,3,3.5,2.5,5,1,1.9000001,5.6700001,3.3299999,3.5,0,2.75,1,2.25,4.3299999,2,1.1999998,4.6700001,5,0
463,2014,1,1,2,2.75,3,,2.6399999,5.6700001,2.3299999,6,0,,,,,,,,,
463,2015,1,2,1.5,2.5,3.6700001,1,1.4000001,5.3299999,3,2.0999999,1,2,5,2.75,3,,2.6399999,5.6700001,2.3299999,0
463,2016,1,3,2.25,3.25,4,0,1.8000002,5,3.3299999,5.3000002,0,1.5,2,2.5,3.6700001,1,1.4000001,5.3299999,3,1
464,2014,1,17,3.5,4,3.6700001,,1.4499998,3.3299999,2,3,1,,,,,,,,,
464,2015,1,18,2.75,5,3.6700001,1,1.3000002,2,5,3.5,0,3.5,2,4,3.6700001,,1.4499998,3.3299999,2,1
464,2016,1,19,3.5,4.25,4.3299999,0,1.0999999,3,4.6700001,4.5,1,2.75,3,5,3.6700001,1,1.3000002,2,5,0
465,2014,1,17,3.5,4,4,,1.73,3.3299999,2,5.8000002,1,,,,,,,,,
465,2015,1,18,2.75,3.25,4,0,1.5999999,3,5,4.3000002,1,3.5,5,4,4,,1.73,3.3299999,2,1
465,2016,1,19,3.25,2.75,4.3299999,3,1.1999998,3.3299999,3.3299999,5.9000001,0,2.75,4,3.25,4,0,1.5999999,3,5,1
466,2014,2,15,3.5,3,3,,1.73,4,3,4.6999998,0,,,,,,,,,
466,2015,2,16,3,2.5,3.6700001,2,.4000001,3.6700001,3.3299999,5,1,3.5,4,3,3,,1.73,4,3,0
466,2016,2,17,2.75,3,4,2,2.3000002,4,3.3299999,3.5999999,0,3,4,2.5,3.6700001,2,.4000001,3.6700001,3.3299999,1
467,2014,1,5,2.5,2.75,3.3299999,,3,3.6700001,3.3299999,3.7,0,,,,,,,,,
467,2015,1,6,1.75,2.75,2.3299999,0,1.9000001,2.6700001,4.6700001,2.4000001,1,2.5,3,2.75,3.3299999,,3,3.6700001,3.3299999,0
467,2016,1,7,1.5,2,1.67,0,3.8,2.6700001,4.3299999,2.8,1,1.75,2,2.75,2.3299999,0,1.9000001,2.6700001,4.6700001,1
468,2014,1,12,4,4,4,,1,3,2,3.4000001,0,,,,,,,,,
468,2015,1,13,4.5,4.75,4.6700001,0,2.4000001,3.3299999,3,3,0,4,3,4,4,,1,3,2,0
468,2016,1,14,4.25,3.75,3.6700001,0,1.0999999,3.3299999,3.6700001,3.5,0,4.5,3,4.75,4.6700001,0,2.4000001,3.3299999,3,0
469,2014,1,14,3.5,3,3,,1.3600001,4,2,4.3000002,1,,,,,,,,,
